Id,Prediction
1,[0.8981022, 0.10189777]
2,[0.4290751, 0.57092494]
3,[0.0552591, 0.94474095]
4,[0.20190711, 0.79809284]
5,[0.7191586, 0.2808414]
6,[0.729408, 0.27059194]
7,[0.79442674, 0.20557329]
8,[0.008148132, 0.99185187]
9,[0.279559, 0.720441]
10,[0.09853332, 0.90146667]
11,[0.02296988, 0.97703016]
12,[0.028704485, 0.9712955]
13,[0.8099154, 0.1900846]
14,[0.004951751, 0.9950482]
15,[0.023305064, 0.97669494]
16,[0.002822963, 0.997177]
17,[1.0, 4.908612e-09]
18,[0.023022546, 0.97697747]
19,[0.20169468, 0.7983053]
20,[1.0, 7.136732e-09]
21,[0.7359396, 0.26406038]
22,[0.87407535, 0.12592463]
23,[0.2585142, 0.74148583]
24,[0.9999999, 7.116332e-08]
25,[0.00095074857, 0.99904925]
26,[1.0, 4.4714202e-10]
27,[0.020537406, 0.97946256]
28,[0.5458557, 0.45414433]
29,[0.9999999, 6.551997e-08]
30,[0.13960283, 0.86039716]
31,[0.77882665, 0.22117335]
32,[0.70203346, 0.29796657]
33,[0.78572834, 0.21427162]
34,[0.110203594, 0.8897964]
35,[0.040992502, 0.95900744]
36,[0.022309944, 0.97769004]
37,[0.13417767, 0.8658223]
38,[0.33562773, 0.6643723]
39,[0.67830604, 0.32169393]
40,[0.11465011, 0.8853499]
41,[0.24167871, 0.7583213]
42,[0.99825686, 0.0017431347]
43,[1.0, 2.879516e-09]
44,[0.9999949, 5.16406e-06]
45,[0.9999949, 5.16406e-06]
46,[1.0, 1.8762043e-09]
47,[0.9530223, 0.04697775]
48,[0.24093834, 0.7590617]
49,[0.100230865, 0.8997691]
50,[1.0, 5.2938194e-08]
51,[0.15173161, 0.84826845]
52,[0.20056854, 0.7994315]
53,[0.4832321, 0.51676786]
54,[0.031581186, 0.9684188]
55,[0.32602766, 0.6739723]
56,[0.04158561, 0.9584144]
57,[0.0048689786, 0.995131]
58,[0.09825964, 0.9017403]
59,[0.54582906, 0.45417094]
60,[0.8414076, 0.15859246]
61,[0.40598616, 0.5940138]
62,[0.0010474444, 0.9989525]
63,[0.0010474444, 0.9989525]
64,[0.8483695, 0.15163054]
65,[0.99980026, 0.00019974419]
66,[0.020144373, 0.97985566]
67,[0.41202852, 0.5879715]
68,[0.2908492, 0.70915073]
69,[0.9999994, 5.452603e-07]
70,[1.0, 1.9827414e-08]
71,[0.17002957, 0.8299704]
72,[0.9494173, 0.050582636]
73,[0.5370479, 0.46295208]
74,[0.75595206, 0.24404798]
75,[0.00072238053, 0.99927765]
76,[0.6625517, 0.33744827]
77,[0.9669498, 0.033050213]
78,[0.8005751, 0.19942498]
79,[0.047769677, 0.9522303]
80,[0.6826777, 0.31732237]
81,[0.1333703, 0.8666297]
82,[0.09301079, 0.9069892]
83,[0.70762056, 0.29237947]
84,[0.9999988, 1.2073345e-06]
85,[0.93892986, 0.061070155]
86,[0.3307456, 0.6692544]
87,[0.4177162, 0.58228374]
88,[0.4177162, 0.58228374]
89,[0.56904775, 0.43095225]
90,[0.47650075, 0.5234992]
91,[0.0001033626, 0.99989665]
92,[0.1542526, 0.8457474]
93,[0.76302046, 0.23697956]
94,[0.22527707, 0.7747229]
95,[0.731594, 0.26840594]
96,[0.59610736, 0.4038926]
97,[0.9995641, 0.00043584965]
98,[0.9437552, 0.05624472]
99,[0.43838966, 0.5616103]
100,[0.060864005, 0.939136]
101,[0.97368985, 0.02631018]
102,[0.3191509, 0.68084913]
103,[0.6747147, 0.32528532]
104,[0.35488284, 0.64511716]
105,[0.40006745, 0.5999325]
106,[0.9980704, 0.0019295719]
107,[0.99995995, 3.9994444e-05]
108,[0.99995995, 3.9994444e-05]
109,[0.7766157, 0.22338428]
110,[0.1438532, 0.8561468]
111,[0.6705489, 0.32945108]
112,[0.6705489, 0.32945108]
113,[0.999977, 2.2954875e-05]
114,[0.16735372, 0.83264625]
115,[0.9882775, 0.011722527]
116,[0.872452, 0.127548]
117,[0.7872526, 0.21274737]
118,[0.7803902, 0.21960978]
119,[0.9790967, 0.020903237]
120,[0.9119085, 0.08809154]
121,[0.75118166, 0.24881828]
122,[0.30818814, 0.6918119]
123,[0.88719547, 0.11280456]
124,[0.89450645, 0.105493546]
125,[0.0023083736, 0.99769163]
126,[0.90284556, 0.09715441]
127,[0.0035444614, 0.99645555]
128,[0.93457067, 0.06542933]
129,[0.044088755, 0.9559113]
130,[0.9729654, 0.027034549]
131,[0.10223683, 0.89776313]
132,[0.7793042, 0.22069576]
133,[0.9981912, 0.0018088642]
134,[0.25498956, 0.7450105]
135,[0.9992568, 0.0007431942]
136,[0.9992568, 0.0007431942]
137,[0.020491675, 0.9795083]
138,[0.020491675, 0.9795083]
139,[0.020491675, 0.9795083]
140,[0.020491675, 0.9795083]
141,[0.020491675, 0.9795083]
142,[0.41163167, 0.5883683]
143,[0.20471641, 0.79528356]
144,[0.018772887, 0.98122716]
145,[0.5478319, 0.45216808]
146,[0.47650382, 0.5234962]
147,[0.12760247, 0.8723975]
148,[0.2865668, 0.7134332]
149,[0.10352741, 0.89647263]
150,[0.9587487, 0.041251324]
151,[0.57988614, 0.42011386]
152,[0.2136216, 0.7863784]
153,[0.6215588, 0.3784412]
154,[0.6763488, 0.32365125]
155,[0.00024007638, 0.99976]
156,[0.8676957, 0.13230425]
157,[0.9862103, 0.013789683]
158,[0.53436583, 0.46563423]
159,[0.021606047, 0.978394]
160,[0.17628911, 0.82371086]
161,[0.041297052, 0.958703]
162,[0.51265997, 0.48734006]
163,[0.37901387, 0.6209861]
164,[0.110990465, 0.88900954]
165,[0.18836567, 0.81163436]
166,[0.18836567, 0.81163436]
167,[0.00017790824, 0.9998221]
168,[0.11356593, 0.886434]
169,[0.5145682, 0.48543182]
170,[0.06992733, 0.93007267]
171,[1.0, 1.2785314e-08]
172,[1.0, 4.4428944e-08]
173,[0.9336963, 0.06630365]
174,[0.12039104, 0.8796089]
175,[0.00096470944, 0.99903536]
176,[1.0, 7.420878e-11]
177,[0.34010923, 0.6598908]
178,[0.09373364, 0.90626633]
179,[0.8840436, 0.11595642]
180,[0.021565434, 0.97843456]
181,[0.9998698, 0.00013013092]
182,[0.023268713, 0.9767313]
183,[0.7423877, 0.25761223]
184,[0.47005668, 0.52994335]
185,[0.9542224, 0.045777675]
186,[0.46258503, 0.53741497]
187,[0.40900666, 0.59099334]
188,[0.9962141, 0.0037858384]
189,[0.92826253, 0.07173754]
190,[0.99942267, 0.0005774048]
191,[0.26466718, 0.73533285]
192,[0.9368573, 0.06314271]
193,[0.03598112, 0.9640189]
194,[0.94692385, 0.05307613]
195,[0.094244406, 0.9057556]
196,[0.95515263, 0.044847306]
197,[0.41630998, 0.58369]
198,[0.08800489, 0.9119952]
199,[0.6093567, 0.39064333]
200,[0.43076167, 0.5692383]
201,[1.0, 6.5119403e-09]
202,[0.99989367, 0.00010627177]
203,[0.70283693, 0.2971631]
204,[0.09276862, 0.9072314]
205,[0.41406828, 0.58593166]
206,[0.27435842, 0.72564155]
207,[1.0, 2.1788658e-08]
208,[0.41141757, 0.5885824]
209,[0.6186447, 0.38135535]
210,[0.99999917, 8.323849e-07]
211,[1.0, 8.724868e-12]
212,[0.13266246, 0.8673376]
213,[0.29274055, 0.7072595]
214,[0.29274055, 0.7072595]
215,[0.004332847, 0.9956671]
216,[0.029328754, 0.97067124]
217,[0.5905625, 0.40943748]
218,[0.001816185, 0.9981838]
219,[0.2933131, 0.7066869]
220,[0.5607174, 0.43928257]
221,[0.999997, 3.0054703e-06]
222,[0.3424018, 0.6575982]
223,[0.9999691, 3.087322e-05]
224,[0.6912304, 0.30876952]
225,[0.13663983, 0.8633602]
226,[0.7520836, 0.24791646]
227,[1.0, 1.8401019e-12]
228,[0.277231, 0.722769]
229,[0.08319647, 0.9168035]
230,[0.99999976, 2.209231e-07]
231,[0.8419848, 0.1580152]
232,[0.73681015, 0.26318985]
233,[0.10562537, 0.8943746]
234,[0.48252127, 0.5174787]
235,[0.64617157, 0.3538285]
236,[0.561532, 0.43846792]
237,[0.00089836126, 0.99910164]
238,[0.33127135, 0.6687286]
239,[0.99999905, 9.944895e-07]
240,[0.8316011, 0.16839896]
241,[0.120159075, 0.8798409]
242,[0.2620624, 0.73793757]
243,[0.091387466, 0.90861255]
244,[0.0295703, 0.9704297]
245,[0.08711002, 0.91288996]
246,[0.09211689, 0.90788305]
247,[0.0034087352, 0.9965913]
248,[0.980721, 0.019279001]
249,[0.9998555, 0.00014441759]
250,[0.42947707, 0.57052296]
251,[0.87830824, 0.12169179]
252,[0.52158767, 0.4784123]
253,[0.32718796, 0.67281204]
254,[0.0086083915, 0.99139166]
255,[1.0, 1.7191512e-10]
256,[0.59852016, 0.40147987]
257,[0.2891107, 0.71088934]
258,[0.77627313, 0.22372684]
259,[0.48831326, 0.51168674]
260,[0.09848321, 0.90151674]
261,[0.9999999, 1.7412658e-07]
262,[0.22193636, 0.77806365]
263,[0.45368952, 0.54631054]
264,[0.9996722, 0.00032782988]
265,[0.9998603, 0.00013971854]
266,[0.57425207, 0.42574793]
267,[0.70723397, 0.292766]
268,[0.8493071, 0.15069284]
269,[0.9999696, 3.0343674e-05]
270,[0.6110725, 0.38892752]
271,[0.44225672, 0.5577433]
272,[0.019060632, 0.9809394]
273,[0.9991033, 0.0008967257]
274,[0.04018654, 0.9598134]
275,[0.4119739, 0.5880261]
276,[0.2725943, 0.7274057]
277,[0.002723837, 0.9972761]
278,[0.13307618, 0.8669238]
279,[0.8797312, 0.120268874]
280,[0.48164788, 0.51835215]
281,[0.9925645, 0.007435481]
282,[0.058313362, 0.9416867]
283,[0.86867416, 0.13132583]
284,[0.8913549, 0.10864508]
285,[0.9527172, 0.047282804]
286,[0.60767084, 0.39232916]
287,[0.8271754, 0.1728246]
288,[0.095668375, 0.9043316]
289,[0.14784597, 0.8521541]
290,[0.08068497, 0.91931504]
291,[0.0458543, 0.9541457]
292,[0.61249924, 0.3875008]
293,[0.9710125, 0.028987514]
294,[0.0042403084, 0.99575967]
295,[0.4401938, 0.5598062]
296,[0.95016253, 0.04983748]
297,[0.0012619705, 0.998738]
298,[0.0012619705, 0.998738]
299,[0.8779368, 0.12206323]
300,[0.43797797, 0.56202203]
301,[0.11007279, 0.8899272]
302,[0.00783557, 0.9921644]
303,[0.99662966, 0.003370389]
304,[0.99662966, 0.003370389]
305,[0.99662966, 0.003370389]
306,[0.99662966, 0.003370389]
307,[0.008708042, 0.99129194]
308,[0.3226102, 0.6773898]
309,[0.008661898, 0.99133813]
310,[0.008661898, 0.99133813]
311,[0.165938, 0.83406204]
312,[0.38588977, 0.61411023]
313,[0.5935397, 0.40646034]
314,[0.99596465, 0.0040352936]
315,[0.66518915, 0.33481085]
316,[0.66518915, 0.33481085]
317,[0.98844004, 0.011559904]
318,[0.018918546, 0.9810814]
319,[0.35995185, 0.64004815]
320,[0.9147479, 0.08525209]
321,[1.0, 9.0816865e-09]
322,[1.0, 9.0816865e-09]
323,[0.13870841, 0.8612916]
324,[0.829415, 0.17058496]
325,[0.25640133, 0.7435987]
326,[0.032391973, 0.96760803]
327,[0.013576683, 0.9864233]
328,[0.58418274, 0.4158173]
329,[0.21489123, 0.7851088]
330,[0.9999695, 3.0504789e-05]
331,[0.9999695, 3.0504789e-05]
332,[0.26570562, 0.7342944]
333,[0.03220521, 0.9677948]
334,[0.56823575, 0.43176425]
335,[0.96332985, 0.036670193]
336,[0.016351676, 0.9836483]
337,[0.005693028, 0.994307]
338,[0.6469493, 0.3530507]
339,[0.5427034, 0.45729655]
340,[0.5347933, 0.46520665]
341,[0.37372112, 0.6262789]
342,[0.98350835, 0.016491711]
343,[0.004905205, 0.9950948]
344,[0.14530228, 0.85469776]
345,[0.92557013, 0.07442986]
346,[0.37125954, 0.62874043]
347,[0.014922618, 0.98507744]
348,[0.5540555, 0.4459445]
349,[0.38284636, 0.61715364]
350,[0.88803834, 0.11196171]
351,[0.12256492, 0.877435]
352,[0.4575516, 0.5424484]
353,[0.3329414, 0.6670586]
354,[0.16995876, 0.8300413]
355,[0.85186225, 0.14813776]
356,[0.014745307, 0.98525465]
357,[0.088354565, 0.9116455]
358,[0.19271459, 0.8072854]
359,[0.99986005, 0.0001398925]
360,[0.92801636, 0.07198366]
361,[0.4899111, 0.51008886]
362,[0.419773, 0.580227]
363,[0.30358267, 0.69641733]
364,[1.3896516e-07, 0.9999999]
365,[0.7681248, 0.23187524]
366,[0.8656183, 0.13438177]
367,[0.9998865, 0.0001135066]
368,[0.4708079, 0.5291921]
369,[0.9997261, 0.00027385165]
370,[0.99530584, 0.004694086]
371,[0.25737634, 0.7426236]
372,[0.365385, 0.634615]
373,[0.41053694, 0.5894631]
374,[0.96152186, 0.038478173]
375,[0.96152186, 0.038478173]
376,[0.96152186, 0.038478173]
377,[0.10651746, 0.8934825]
378,[0.70429, 0.29571]
379,[0.36645, 0.63355]
380,[0.38755178, 0.6124482]
381,[1.0, 1.0386672e-09]
382,[0.26035622, 0.7396438]
383,[0.3442266, 0.65577346]
384,[0.13897872, 0.8610212]
385,[0.7195856, 0.28041443]
386,[0.76331097, 0.23668903]
387,[0.023176277, 0.97682375]
388,[0.0037883467, 0.99621165]
389,[0.3353237, 0.6646763]
